Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Badminton duration (ms),Rowing machine duration (ms),Jogging duration (ms),Paced walking duration (ms)
2022-06-02,38,1725.0979170381215,833.6332588195801,22.0,22,,,,,,,,0.5984251139780777,1.2137157917022705,0.32836729288101196,1288,77.11064147949219,77.11064147949219,77.11064147949219,1105761,,180790,,,,,
2022-06-03,83,1776.4579271156817,4830.203191757202,31.0,30,,,,,,,,0.42078838397693846,1.76559579372406,0.30680006742477417,6696,,,,,,2137828,,,,,
2022-06-04,31,1758.5069959320738,2181.2239842414856,18.0,12,,,,,,,,0.6844616484842042,2.5293807983398438,0.27392861247062683,3008,,,,,,1850048,,,,,
2022-06-05,157,2163.492045251147,6244.124917507172,88.0,88,,,,,,,,0.4332710011881832,1.7250570058822632,0.240263432264328,8789,,,,3149747,,4316174,290827,,,,
2022-06-06,15,1657.5900951849915,538.1716918945312,,,,,,,,,,0.7277954142098461,1.4217822551727295,0.2511861324310303,829,,,,,,232197,,,,,
2022-06-07,2,1643.1063638587614,55.88144302368164,,,,,,,,,,0.32871437072753906,0.32871437072753906,0.32871437072753906,180,,,,,,,,,,,
2022-06-08,133,1854.51813129239,6506.686532974243,47.0,33,,,,,,,,0.6533721888631472,2.100794553756714,0.2581987679004669,8960,,,,,,3257009,,,,,
2022-06-09,60,1868.949506675182,4184.730320930481,52.0,30,,,,,,,,0.9949002320211227,2.2147369384765625,0.2520143389701843,5544,,,,,,3565529,,,,,
2022-06-10,93,1680.5327308407357,2468.1801266670227,6.0,6,,,,,,,,0.47595157049388215,1.637327790260315,0.3177572190761566,3654,,,,,,600000,,,,,
2022-06-11,63,2071.4780143441635,7168.111810684204,106.0,56,,,,,,,,0.931442387292608,2.1666667461395264,0.2629714906215668,9077,78.4714126586914,78.4714126586914,78.4714126586914,,,224657,2400000,,,,
2022-06-12,102,2049.8594935567107,2021.0719361305237,60.0,59,,,,,,,,0.5661443137589312,2.3504478931427,0.2649683654308319,3055,,,,3559436,,2446764,,,,,
